====== 1982 相较于 1981 ======

改名的：
142121 <> 大同县 > 阳高县
142122 <> 阳高县 > 天镇县
142123 <> 天镇县 > 广灵县
142124 <> 广灵县 > 灵丘县
142125 <> 灵丘县 > 浑源县
142126 <> 浑源县 > 应县
142127 <> 怀仁县 > 山阴县
142128 <> 应县 > 朔县
142129 <> 山阴县 > 平鲁县
142130 <> 朔县 > 左云县
142131 <> 平鲁县 > 右玉县
142132 <> 左云县 > 大同县
142133 <> 右玉县 > 怀仁县
142222 <> 原平县 > 定襄县
142223 <> 代县 > 五台县
142224 <> 繁峙县 > 原平县
142225 <> 五台县 > 代县
142226 <> 定襄县 > 繁峙县
142227 <> 静乐县 > 宁武县
142228 <> 岢岚县 > 静乐县
142229 <> 保德县 > 神池县
142231 <> 河曲县 > 岢岚县
142232 <> 偏关县 > 河曲县
142233 <> 神池县 > 保德县
142234 <> 宁武县 > 偏关县
142300 <> 晋中地区 > 吕梁地区
142321 <> 榆次县 > 汾阳县
142322 <> 寿阳县 > 文水县
142323 <> 盂县 > 交城县
142324 <> 平定县 > 孝义县
142325 <> 昔阳县 > 兴县
142326 <> 和顺县 > 临县
142327 <> 左权县 > 柳林县
142328 <> 榆社县 > 石楼县
142329 <> 太谷县 > 岚县
142330 <> 祁县 > 方山县
142331 <> 平遥县 > 离石县
142332 <> 介休县 > 中阳县
142333 <> 灵石县 > 交口县
142400 <> 吕梁地区 > 晋中地区
142421 <> 离石县 > 榆社县
142422 <> 孝义县 > 左权县
142423 <> 兴县 > 和顺县
142424 <> 交口县 > 昔阳县
142425 <> 方山县 > 平定县
142426 <> 石楼县 > 盂县
142427 <> 岚县 > 寿阳县
142428 <> 中阳县 > 榆次县
142429 <> 交城县 > 太谷县
142430 <> 临县 > 祁县
142431 <> 文水县 > 平遥县
142432 <> 柳林县 > 介休县
142433 <> 汾阳县 > 灵石县
142523 <> 襄垣县 > 屯留县
142524 <> 武乡县 > 长子县
142525 <> 黎城县 > 沁水县
142526 <> 平顺县 > 阳城县
142527 <> 壶关县 > 晋城县
142528 <> 陵川县 > 高平县
142529 <> 高平县 > 陵川县
142530 <> 晋城县 > 壶关县
142531 <> 阳城县 > 平顺县
142532 <> 沁水县 > 黎城县
142533 <> 长子县 > 武乡县
142534 <> 屯留县 > 襄垣县
142535 <> 沁源县 > 沁县
142536 <> 沁县 > 沁源县
142621 <> 临汾县 > 曲沃县
142622 <> 隰县 > 翼城县
142623 <> 汾西县 > 襄汾县
142624 <> 永和县 > 临汾县
142625 <> 安泽县 > 洪洞县
142626 <> 洪洞县 > 霍县
142628 <> 霍县 > 安泽县
142629 <> 翼城县 > 浮山县
142630 <> 浮山县 > 吉县
142631 <> 曲沃县 > 乡宁县
142632 <> 襄汾县 > 蒲县
142633 <> 吉县 > 大宁县
142634 <> 乡宁县 > 永和县
142635 <> 大宁县 > 隰县
142636 <> 蒲县 > 汾西县
142722 <> 夏县 > 永济县
142723 <> 闻喜县 > 芮城县
142724 <> 绛县 > 临猗县
142725 <> 垣曲县 > 万荣县
142726 <> 平陆县 > 新绛县
142727 <> 芮城县 > 稷山县
142728 <> 永济县 > 河津县
142729 <> 临猗县 > 闻喜县
142730 <> 万荣县 > 夏县
142731 <> 新绛县 > 绛县
142732 <> 稷山县 > 平陆县
142733 <> 河津县 > 垣曲县
152421 <> 赤峰县 > 阿鲁科尔沁旗
152500 <> 伊克昭盟 > 锡林郭勒盟
152521 <> 东胜县 > 阿巴哈纳尔旗
152522 <> 达拉特旗 > 阿巴嘎旗
152523 <> 准格尔旗 > 苏尼特左旗
152524 <> 鄂托克前旗 > 苏尼特右旗
152525 <> 鄂托克旗 > 东乌珠穆沁旗
152526 <> 杭锦旗 > 西乌珠穆沁旗
152527 <> 乌审旗 > 太仆寺旗
152528 <> 伊金霍洛旗 > 镶黄旗
152600 <> 锡林郭勒盟 > 乌兰察布盟
152601 <> 二连浩特市 > 集宁市
152621 <> 阿巴哈纳尔旗 > 武川县
152622 <> 阿巴嘎旗 > 和林格尔县
152623 <> 苏尼特左旗 > 清水河县
152624 <> 苏尼特右旗 > 卓资县
152625 <> 东乌珠穆沁旗 > 化德县
152626 <> 西乌珠穆沁旗 > 商都县
152627 <> 太仆寺旗 > 兴和县
152628 <> 镶黄旗 > 丰镇县
152629 <> 正镶白旗 > 凉城县
152630 <> 正蓝旗 > 察哈尔右翼前旗
152631 <> 多伦县 > 察哈尔右翼中旗
152700 <> 巴彦淖尔盟 > 伊克昭盟
152721 <> 临河县 > 东胜县
152722 <> 五原县 > 达拉特旗
152723 <> 磴口县 > 准格尔旗
152724 <> 乌拉特前旗 > 鄂托克前旗
152725 <> 乌拉特中旗 > 鄂托克旗
152726 <> 杭锦后旗 > 杭锦旗
152727 <> 乌拉特后旗 > 乌审旗
152800 <> 乌兰察布盟 > 巴彦淖尔盟
152821 <> 武川县 > 临河县
152822 <> 和林格尔县 > 五原县
152823 <> 清水河县 > 磴口县
152824 <> 卓资县 > 乌拉特前旗
152825 <> 化德县 > 乌拉特中旗
152826 <> 商都县 > 乌拉特后旗
152827 <> 兴和县 > 杭锦后旗
230400 <> 大庆市 > 鹤岗市
230402 <> 萨尔图区 > 向阳区
230403 <> 龙凤区 > 工农区
230404 <> 让胡路区 > 南山区
230405 <> 红岗区 > 兴安区
230406 <> 大同区 > 东山区
230500 <> 鹤岗市 > 双鸭山市
230502 <> 向阳区 > 尖山区
230503 <> 工农区 > 岭东区
230504 <> 南山区 > 岭西区
230505 <> 兴安区 > 四方台区
230506 <> 东山区 > 宝山区
230600 <> 双鸭山市 > 大庆市
230602 <> 尖山区 > 萨尔图区
230603 <> 岭东区 > 龙凤区
230604 <> 岭西区 > 让胡路区
230605 <> 四方台区 > 红岗区
230606 <> 宝山区 > 大同区
232100 <> 绥化地区 > 松花江地区
232121 <> 海伦县 > 阿城县
232122 <> 肇东县 > 宾县
232123 <> 绥化县 > 呼兰县
232124 <> 安达县 > 双城县
232125 <> 望奎县 > 五常县
232126 <> 兰西县 > 巴彦县
232127 <> 青冈县 > 木兰县
232128 <> 肇源县 > 通河县
232129 <> 肇州县 > 尚志县
232130 <> 庆安县 > 方正县
232131 <> 明水县 > 延寿县
232200 <> 松花江地区 > 嫩江地区
232221 <> 五常县 > 龙江县
232222 <> 双城县 > 讷河县
232223 <> 巴彦县 > 依安县
232224 <> 呼兰县 > 泰来县
232225 <> 宾县 > 甘南县
232226 <> 阿城县 > 杜尔伯特蒙古族自治县
232227 <> 尚志县 > 富裕县
232228 <> 木兰县 > 林甸县
232229 <> 延寿县 > 克山县
232230 <> 通河县 > 克东县
232231 <> 方正县 > 拜泉县
232300 <> 嫩江地区 > 绥化地区
232321 <> 讷河县 > 海伦县
232322 <> 拜泉县 > 肇东县
232324 <> 依安县 > 望奎县
232325 <> 克山县 > 兰西县
232326 <> 甘南县 > 青冈县
232327 <> 泰来县 > 安达县
232328 <> 克东县 > 肇源县
232329 <> 富裕县 > 肇州县
232330 <> 林甸县 > 庆安县
232331 <> 杜尔伯特蒙古族自治县 > 明水县
232421 <> 桦南县 > 富锦县
232422 <> 集贤县 > 桦南县
232423 <> 宝清县 > 依兰县
232424 <> 富锦县 > 勃利县
232425 <> 依兰县 > 集贤县
232426 <> 勃利县 > 桦川县
232427 <> 汤原县 > 宝清县
232428 <> 桦川县 > 汤原县
232429 <> 萝北县 > 绥滨县
232430 <> 绥滨县 > 萝北县
232431 <> 饶河县 > 同江县
232432 <> 同江县 > 饶河县
232502 <> 东凤区 > 绥芬河市
232503 <> 先锋区 > 东凤区
232504 <> 爱民区 > 先锋区
232505 <> 阳明区 > 爱民区
232521 <> 海林县 > 宁安县
232522 <> 宁安县 > 海林县
232523 <> 林口县 > 穆棱县
232524 <> 密山县 > 东宁县
232525 <> 穆棱县 > 林口县
232526 <> 虎林县 > 鸡东县
232527 <> 鸡东县 > 密山县
232528 <> 东宁县 > 虎林县
232622 <> 北安县 > 嫩江县
330321 <> 洞头县 > 瓯海县
330322 <> 永嘉县 > 洞头县
330323 <> 瑞安县 > 乐清县
330324 <> 文成县 > 永嘉县
330325 <> 平阳县 > 瑞安县
330326 <> 乐清县 > 平阳县
330327 <> 泰顺县 > 苍南县
330328 <> 瓯海县 > 文成县
330329 <> 苍南县 > 泰顺县
332122 <> 嘉善县 > 平湖县
332123 <> 平湖县 > 海宁县
332124 <> 海宁县 > 海盐县
332125 <> 海盐县 > 桐乡县
332126 <> 桐乡县 > 德清县
332127 <> 德清县 > 长兴县
332322 <> 上虞县 > 嵊县
332323 <> 嵊县 > 新昌县
332324 <> 新昌县 > 诸暨县
332500 <> 金华地区 > 丽水地区
332522 <> 兰溪县 > 青田县
332523 <> 永康县 > 云和县
332524 <> 武义县 > 龙泉县
332525 <> 东阳县 > 庆元县
332526 <> 义乌县 > 缙云县
332527 <> 浦江县 > 遂昌县
332600 <> 丽水地区 > 台州地区
332621 <> 丽水县 > 临海县
332622 <> 青田县 > 黄岩县
332623 <> 云和县 > 温岭县
332624 <> 龙泉县 > 仙居县
332625 <> 庆元县 > 天台县
332626 <> 缙云县 > 三门县
332627 <> 遂昌县 > 玉环县
332700 <> 台州地区 > 舟山地区
332721 <> 临海县 > 定海县
332722 <> 黄岩县 > 普陀县
332723 <> 温岭县 > 岱山县
332724 <> 仙居县 > 嵊泗县
352200 <> 建阳地区 > 宁德地区
352221 <> 顺昌县 > 宁德县
352222 <> 建阳县 > 连江县
352223 <> 建瓯县 > 罗源县
352224 <> 浦城县 > 福鼎县
352225 <> 邵武县 > 霞浦县
352226 <> 崇安县 > 福安县
352227 <> 光泽县 > 古田县
352228 <> 松溪县 > 屏南县
352229 <> 政和县 > 寿宁县
352300 <> 宁德地区 > 莆田地区
352321 <> 宁德县 > 闽清县
